Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image,Rank,Gold,Silver,Bronze,S Tier,Earnings
fl1pzjder,https://www.vlr.gg/player/7045/fl1pzjder,131,0.94,187.8,66%,0.92,128.3,0.67,0.22,0.1,0.13,29%,33%,5/15,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png,235,6,4,3,0,"$11,352"
Rb,https://www.vlr.gg/player/488/rb,416,0.94,192.4,70%,0.94,126.1,0.66,0.22,0.11,0.11,27%,10%,3/31,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png,25,19,1,0,0,"$51,200"
adverso,https://www.vlr.gg/player/3826/adverso,179,0.93,191.0,68%,0.89,126.8,0.63,0.28,0.06,0.06,22%,,0/11,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,199,12,7,0,0,"$13,135"
mindfreak,https://www.vlr.gg/player/9800/mindfreak,174,0.93,164.6,70%,0.83,110.9,0.56,0.28,0.05,0.09,29%,14%,4/29,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,130,10,4,1,0,"$17,846"
dimasick,https://www.vlr.gg/player/320/dimasick,257,0.91,166.1,72%,0.86,109.5,0.59,0.29,0.06,0.07,38%,12%,3/26,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,165,3,0,2,0,"$15,912"
dephh,https://www.vlr.gg/player/882/dephh,285,0.91,173.5,75%,0.84,112.3,0.59,0.36,0.06,0.08,28%,3%,1/32,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,143,2,3,0,0,"$17,450"
Jinggg,https://www.vlr.gg/player/7378/jinggg,174,0.91,234.8,68%,0.95,154.2,0.79,0.21,0.15,0.14,20%,,0/9,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/reyna.png,268,5,2,2,0,"$9,866"
FNS,https://www.vlr.gg/player/817/fns,492,0.9,164.7,70%,0.79,110.8,0.53,0.33,0.03,0.07,21%,7%,5/67,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,22,6,6,2,0,"$58,120"
blaZek1ng,https://www.vlr.gg/player/1743/blazek1ng,131,0.9,176.0,63%,0.84,112.2,0.59,0.27,0.05,0.07,27%,,0/33,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,215,9,6,2,0,"$12,283"
stellar,https://www.vlr.gg/player/733/stellar,157,0.9,162.9,72%,0.78,114.6,0.55,0.33,0.04,0.1,29%,4%,1/26,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,213,6,3,5,0,"$12,355"
