Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image
Zest,https://www.vlr.gg/player/772/zest,416,0.96,174.0,70%,0.92,118.0,0.63,0.26,0.07,0.07,32%,12%,4/34,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,
Dep,https://www.vlr.gg/player/424/dep,148,0.96,222.4,66%,0.98,134.8,0.76,0.15,0.15,0.07,26%,,0/14,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/neon.png,https://www.vlr.gg/img/vlr/game/agents/omen.png
Crws,https://www.vlr.gg/player/3977/crws,103,0.95,200.6,65%,0.95,133.9,0.72,0.26,0.07,0.10,34%,18%,2/11,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/sage.png
nzr,https://www.vlr.gg/player/725/nzr,113,0.95,185.2,72%,1.04,126.2,0.70,0.16,0.05,0.05,24%,16%,3/19,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,
Tacolilla,https://www.vlr.gg/player/3828/tacolilla,179,0.95,195.0,69%,0.98,126.8,0.69,0.22,0.13,0.14,27%,18%,4/22,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,
AYRIN,https://www.vlr.gg/player/824/ayrin,285,0.95,170.4,69%,0.89,114.9,0.60,0.28,0.02,0.05,20%,12%,4/33,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/astra.png
Nivera,https://www.vlr.gg/player/14669/nivera,257,0.95,180.9,67%,0.88,117.0,0.62,0.30,0.06,0.09,33%,4%,1/27,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/viper.png
Quick,https://www.vlr.gg/player/1575/quick,113,0.94,193.0,70%,0.96,130.9,0.68,0.24,0.10,0.12,24%,38%,3/8,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/sage.png
delz1k,https://www.vlr.gg/player/2468/delz1k,144,0.94,174.0,69%,0.92,116.2,0.62,0.25,0.02,0.07,31%,11%,2/18,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,https://www.vlr.gg/img/vlr/game/agents/omen.png
f0rsakeN,https://www.vlr.gg/player/9801/f0rsaken,174,0.94,215.9,63%,0.97,137.7,0.74,0.13,0.14,0.20,30%,8%,1/13,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/yoru.png
fl1pzjder,https://www.vlr.gg/player/7045/fl1pzjder,131,0.94,187.8,66%,0.92,128.3,0.67,0.22,0.10,0.13,29%,33%,5/15,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png
tehbotoL,https://www.vlr.gg/player/4871/tehbotol,131,0.94,198.5,70%,1.06,145.0,0.79,0.24,0.08,0.06,33%,11%,2/18,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/breach.png
